保険者番号,保険者名,平均年収
6010334,北海道新聞社健康保険組合,700 - 750
6010391,北海道農業団体健康保険組合,550 - 600
6010516,北海道電力健康保険組合,700 - 750
6010532,北洋銀行健康保険組合,650 - 700
6010615,北海道銀行健康保険組合,650 - 700
6010649,北海道信用金庫健康保険組合,600 - 650
6010656,栗林商会健康保険組合,650 - 700
6010698,北海道通運業健康保険組合,600 - 650
6010722,楢崎健康保険組合,650 - 700
6010813,エア・ウォーター健康保険組合,850 - 900
6010904,北海道コンピュータ関連産業健康保険組合,700 - 750
6010938,渓仁会健康保険組合,600 - 650
6010946,北海道医療健康保険組合,600 - 650
6010953,ツルハホールディングス健康保険組合,750 - 800
6020077,青森銀行健康保険組合,600 - 650
6020093,みちのく銀行健康保険組合,600 - 650
6020135,日本原燃健康保険組合,800 - 850
6030050,岩手銀行健康保険組合,600 - 650
6030118,北日本銀行健康保険組合,550 - 600
6030159,岩手県自動車販売健康保険組合,600 - 650
6030191,東北銀行健康保険組合,600 - 650
6030209,日本ハウスホールディングス健康保険組合,700 - 750
6040133,東北電力健康保険組合,750 - 800
6040158,七十七銀行健康保険組合,700 - 750
6040208,河北新報健康保険組合,650 - 700
6040224,ユアテック健康保険組合,700 - 750
6040273,東北しんきん健康保険組合,600 - 650
6040281,東北薬業健康保険組合,650 - 700
6040299,宮城県自動車販売健康保険組合,600 - 650
6040315,仙台銀行健康保険組合,600 - 650
6040356,仙台卸商健康保険組合,500 - 550
6040398,トヨタ自動車東日本健康保険組合,750 - 800
6050033,秋田銀行健康保険組合,600 - 650
6050181,秋田県自動車販売健康保険組合,600 - 650
6060073,山形銀行健康保険組合,600 - 650
6060115,きらやか健康保険組合,550 - 600
6060131,山形県自動車販売健康保険組合,600 - 650
6060149,フィデア健康保険組合,600 - 650
6070122,クレハ健康保険組合,750 - 800
6070163,東邦銀行健康保険組合,600 - 650
6070312,福島銀行健康保険組合,550 - 600
6070320,福島トヨペットグループ健康保険組合,600 - 650
6070353,大東銀行健康保険組合,550 - 600
6070379,会津中央健康保険組合,600 - 650
6080030,工機ホールディングス健康保険組合,800 - 850
6080097,常陽銀行健康保険組合,650 - 700
6080162,原子力健康保険組合,850 - 900
6080287,茨城県自動車販売健康保険組合,600 - 650
6080303,筑波銀行健康保険組合,600 - 650
6080352,茨城県農協健康保険組合,550 - 600
6080394,カスミ健康保険組合,500 - 550
6090112,足利銀行健康保険組合,650 - 700
6090179,アキレス健康保険組合,700 - 750
6090310,栃木銀行健康保険組合,600 - 650
6090377,栃木県農協健康保険組合,550 - 600
6090393,栃木トヨペットグループ健康保険組合,600 - 650
6090401,栃木県トラック健康保険組合,550 - 600
6090427,レオン自動機健康保険組合,800 - 850
6090443,東京鐵鋼健康保険組合,700 - 750
6090450,カルビー健康保険組合,800 - 850
6100036,群馬銀行健康保険組合,650 - 700
6100077,群馬県農業団体健康保険組合,550 - 600
6100101,太陽誘電健康保険組合,750 - 800
6100176,東和銀行健康保険組合,550 - 600
6100200,関東いすゞ健康保険組合,650 - 700
6100259,群馬県自動車販売健康保険組合,600 - 650
6100267,北関東しんきん健康保険組合,600 - 650
6100275,ミツバ健康保険組合,650 - 700
6100291,サンデン健康保険組合,600 - 650
6100309,ベイシアグループ健康保険組合,"(-inf, 450]"
6110027,藤倉コンポジット健康保険組合,700 - 750
6110050,日本信号健康保険組合,750 - 800
6110084,ＵＤトラックス健康保険組合,700 - 750
6110118,日本ピストンリング健康保険組合,650 - 700
6110142,リケン健康保険組合,700 - 750
6110167,川口工業健康保険組合,650 - 700
6110183,新電元工業健康保険組合,750 - 800
6110340,ボッシュ健康保険組合,850 - 900
6110373,サイボー健康保険組合,600 - 650
6110407,曙ブレーキ工業健康保険組合,650 - 700
6110449,埼玉機械工業健康保険組合,650 - 700
6110456,山昭健康保険組合,600 - 650
6110464,リズム健康保険組合,650 - 700
6110472,サンケン電気健康保険組合,800 - 850
6110498,武蔵野銀行健康保険組合,600 - 650
6110589,科学技術健康保険組合,750 - 800
6110647,さいしん健康保険組合,600 - 650
6110654,埼玉県農協健康保険組合,550 - 600
6110696,マーレ健康保険組合,650 - 700
6110704,埼玉県金属加工健康保険組合,650 - 700
6110712,埼玉県建設業健康保険組合,650 - 700
6110746,埼玉しんきん健康保険組合,600 - 650
6110753,ニシウミグループ健康保険組合,550 - 600
6110761,埼玉県医師会健康保険組合,600 - 650
6110779,西武健康保険組合,700 - 750
6110829,三井精機工業健康保険組合,650 - 700
6110837,独立行政法人水資源機構健康保険組合,700 - 750
6110852,ＴＭＧ健康保険組合,550 - 600
6110860,オリジン健康保険組合,650 - 700
6110878,日本無線健康保険組合,750 - 800
6110886,ヘンミ大倉健康保険組合,650 - 700
6110894,電興健康保険組合,600 - 650
6120018,キッコーマン健康保険組合,750 - 800
6120026,ヤマサ健康保険組合,700 - 750
6120034,ヒゲタ健康保険組合,650 - 700
6120109,千葉銀行健康保険組合,700 - 750
6120133,千葉県医業健康保険組合,600 - 650
6120240,勝又健康保険組合,600 - 650
6120281,京葉銀行健康保険組合,600 - 650
6120299,千葉県機械金属健康保険組合,650 - 700
6120323,双葉電子健康保険組合,700 - 750
6120356,千葉県自動車販売整備健康保険組合,600 - 650
6120364,千葉興業銀行健康保険組合,600 - 650
6120380,千葉トヨタ健康保険組合,600 - 650
6120398,千葉県農協健康保険組合,550 - 600
6120406,君津製鉄所関連健康保険組合,750 - 800
6120455,千葉県しんきん健康保険組合,600 - 650
6120463,千葉県日産自動車健康保険組合,600 - 650
6120539,千葉県建設業健康保険組合,650 - 700
6120554,千葉県食品製造健康保険組合,600 - 650
6120562,京葉ガス健康保険組合,750 - 800
6120604,千葉県トラック健康保険組合,550 - 600
6120620,オリエンタルランド健康保険組合,800 - 850
6120638,亀田総合病院健康保険組合,650 - 700
6120646,横河ブリッジホールディングス健康保険組合,700 - 750
6120661,イオン健康保険組合,550 - 600
6120679,成田国際空港健康保険組合,700 - 750
6120687,宮地健康保険組合,650 - 700
6120703,富士石油健康保険組合,750 - 800
6120729,セイコーインスツル健康保険組合,700 - 750
6120745,イチカワ健康保険組合,600 - 650
6120752,リーガル健康保険組合,550 - 600
6120760,三井Ｅ＆Ｓ健康保険組合,750 - 800
